ccn,name,state,facility_type,health_system_id,health_system
10C0001596,SEASIDE SURGERY CENTER,FL,ASC,independent,Independent / Unknown
04C0001074,INTERVENTIONAL SURGERY INSTITUTE,AR,ASC,independent,Independent / Unknown
05C0002045,SURGERY CENTER OF SAN JOSE,CA,ASC,independent,Independent / Unknown
11C0001470,GEORGIA INTERVENTIONAL PAIN D LLC,GA,ASC,independent,Independent / Unknown
36C0001294,NORTHPOINTE SURGICAL SUITES LLC,OH,ASC,independent,Independent / Unknown
29C0001115,SOUTHWEST MEDICAL ASSOCIATES INC DBA SOUTHWEST MEDICAL ASSOCIATES TENAYA,NV,ASC,independent,Independent / Unknown
21C0001577,UNIVERSITY OF MARYLAND MEDICINE ASC LLC,MD,ASC,independent,Independent / Unknown
50C0001312,BELLINGHAM UROLOGY GROUP PLLC,WA,ASC,independent,Independent / Unknown
03C0001369,HONOR HEALTH PAIN MANAGEMENT CENTER,AZ,ASC,independent,Independent / Unknown
45C0001668,OAK POINT SURGICAL SUITES LLC,TX,ASC,independent,Independent / Unknown
17C0001093,OVERLAND PARK SURGICAL SUITES,KS,ASC,independent,Independent / Unknown
10C0001705,PALM BEACH INTL SURG CENTER DBA PALM BEACH INTL SURG CENTER AT THE PALEY INSTITUTE,FL,ASC,independent,Independent / Unknown
11C0001578,SURGICAL SERVICES OF GEORGIA LLC DBA APEX SURGERY CENTER,GA,ASC,independent,Independent / Unknown
